# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.PrecompiledRegexSplit.regexSplit
# Parameters: (regex = \s*,\s*, trimmed = SwY322|yV-RyvJxHUQ[h*
`/#)/@g`z*#dx#w~n3,2"8;^!,4v|d=$,\2E_z8C6[t(Z2G*E{;eeTasU~cfJg1W|a)X+as+Md+JTq!F3"6P2zc2>TWfyiZ7x]?fKWH1){xBu{Pr4`L,`\UN5nYuP9{rRyRAR!hvh@X}-^s)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
Iteration  10: 2182.431 ns/op
Iteration  11: 2169.527 ns/op
Iteration  12: 2178.984 ns/op
Iteration  13: 2167.264 ns/op
Iteration  14: 2179.454 ns/op
Iteration  15: 2168.611 ns/op
Iteration  16: 2185.061 ns/op
Iteration  17: 2170.379 ns/op
Iteration  18: 2202.379 ns/op
Iteration  19: 2169.047 ns/op
Iteration  20: 2216.807 ns/op

# Run progress: 80.00% complete, ETA 00:00:50
# Fork: 4 of 5
# Warmup Iteration   1: 2885.337 ns/op
# Warmup Iteration   2: 2665.119 ns/op
# Warmup Iteration   3: 2391.969 ns/op
# Warmup Iteration   4: 2163.493 ns/op
# Warmup Iteration   5: 2184.219 ns/op
Iteration   1: 2163.446 ns/op
Iteration   2: 2197.390 ns/op
Iteration   3: 2164.111 ns/op
Iteration   4: 2201.982 ns/op
Iteration   5: 2163.763 ns/op
Iteration   6: 2220.092 ns/op
Iteration   7: 2163.347 ns/op
Iteration   8: 2228.791 ns/op
Iteration   9: 2163.805 ns/op
Iteration  10: 2177.556 ns/op
Iteration  11: 2168.313 ns/op
Iteration  12: 2196.065 ns/op
Iteration  13: 2172.568 ns/op
Iteration  14: 2177.699 ns/op
Iteration  15: 2163.071 ns/op
Iteration  16: 2189.165 ns/op
Iteration  17: 2163.153 ns/op
Iteration  18: 2175.029 ns/op
Iteration  19: 2163.065 ns/op
Iteration  20: 2188.528 ns/op

# Run progress: 90.00% complete, ETA 00:00:25
# Fork: 5 of 5
# Warmup Iteration   1: 2906.629 ns/op
# Warmup Iteration   2: 2675.201 ns/op
# Warmup Iteration   3: 2403.215 ns/op
# Warmup Iteration   4: 2170.590 ns/op
# Warmup Iteration   5: 2187.528 ns/op
Iteration   1: 2168.308 ns/op
Iteration   2: 2195.146 ns/op
Iteration   3: 2168.637 ns/op
Iteration   4: 2204.175 ns/op
Iteration   5: 2182.312 ns/op
Iteration   6: 2204.263 ns/op
Iteration   7: 2169.291 ns/op
Iteration   8: 2230.370 ns/op
Iteration   9: 2167.595 ns/op
Iteration  10: 2181.892 ns/op
Iteration  11: 2167.140 ns/op
Iteration  12: 2180.652 ns/op
Iteration  13: 2165.747 ns/op
Iteration  14: 2175.740 ns/op
Iteration  15: 2166.297 ns/op
Iteration  16: 2176.936 ns/op
Iteration  17: 2165.716 ns/op
Iteration  18: 2176.184 ns/op
Iteration  19: 2165.928 ns/op
Iteration  20: 2180.764 ns/op


Result "benchmark.PrecompiledRegexSplit.stringSplit":
  2179.335 ±(99.9%) 6.682 ns/op [Average]
  (min, avg, max) = (2150.591, 2179.335, 2238.271), stdev = 19.703
  CI (99.9%): [2172.653, 2186.017] (assumes normal distribution)


# Run complete. Total time: 00:04:13

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
