,regex,input string length,matching position ratio,sample index,Method,Mode,data points,Unit,confidence interval (99.9%),min,max,mean,std,duration,finish time
106,http,64,0.95,12,regexMatches,avgt,100,ns/op,0.455644,122.948,129.811,125.6697,1.3435015798090812,0 days 00:04:12,2021-04-06 01:06:53.930011
107,http,64,0.95,12,stringContains,avgt,100,ns/op,0.054676,16.44,16.903,16.63791,0.16125211422934674,0 days 00:04:12,2021-04-06 01:06:53.930011
108,http,8192,0.95,11,regexMatches,avgt,100,ns/op,273.054566,2299.892,4519.097,3704.8549700000003,805.1076232142295,0 days 00:04:12,2021-04-06 00:36:12.011459
109,http,8192,0.95,11,stringContains,avgt,100,ns/op,2.321083,1174.638,1194.916,1179.6776499999999,6.843769184743177,0 days 00:04:12,2021-04-06 00:36:12.011459
110,http,32768,0.95,4,regexMatches,avgt,100,ns/op,333.636387,12002.589,14705.867,14016.638820000002,983.7344558327379,0 days 00:04:12,2021-04-06 03:22:50.607114
111,http,32768,0.95,4,stringContains,avgt,100,ns/op,3.617481,4588.152,4621.789,4598.371420000001,10.666293930211022,0 days 00:04:12,2021-04-06 03:22:50.607114
112,http,4096,0.95,6,regexMatches,avgt,100,ns/op,68.69528,1671.169,2246.536,1794.82538,202.5495403337907,0 days 00:04:12,2021-04-06 07:19:39.337632
113,http,4096,0.95,6,stringContains,avgt,100,ns/op,0.263729,575.241,578.371,576.27497,0.7776010825194056,0 days 00:04:12,2021-04-06 07:19:39.337632
114,http,65536,0.95,0,regexMatches,avgt,100,ns/op,202.065021,23680.889,25187.523,24455.506110000002,595.7933422456146,0 days 00:04:12,2021-04-06 08:56:08.034237
115,http,65536,0.95,0,stringContains,avgt,100,ns/op,7.945428,9260.289,9342.282,9289.53305,23.427315382859774,0 days 00:04:12,2021-04-06 08:56:08.034237
116,http,16384,0.95,9,regexMatches,avgt,100,ns/op,7.766242,6642.862,6736.735,6716.6093900000005,22.898949910595867,0 days 00:04:12,2021-04-06 01:55:08.220335
117,http,16384,0.95,9,stringContains,avgt,100,ns/op,2.008967,2332.419,2350.511,2342.9143400000003,5.923484053981906,0 days 00:04:12,2021-04-06 01:55:08.220335
118,http,4096,0.95,8,regexMatches,avgt,100,ns/op,61.446757,1672.169,2199.068,2050.62764,181.17712428792666,0 days 00:04:12,2021-04-06 09:09:17.345045
119,http,4096,0.95,8,stringContains,avgt,100,ns/op,0.434571,595.154,602.062,598.46746,1.281330167592974,0 days 00:04:12,2021-04-06 09:09:17.345045
120,http,256,0.95,11,regexMatches,avgt,100,ns/op,5.466,176.799,230.676,205.57873000000004,16.11662922051054,0 days 00:04:12,2021-04-06 04:28:37.541090
121,http,256,0.95,11,stringContains,avgt,100,ns/op,0.141393,43.29,44.485,43.603249999999996,0.416916855189874,0 days 00:04:12,2021-04-06 04:28:37.541090
122,http,1024,0.95,6,regexMatches,avgt,100,ns/op,43.614114,390.04,673.656,549.0592599999999,128.59720015564534,0 days 00:04:12,2021-04-06 03:44:46.155796
123,http,1024,0.95,6,stringContains,avgt,100,ns/op,0.135913,149.459,151.238,150.20233,0.40074980368244045,0 days 00:04:12,2021-04-06 03:44:46.155796
124,http,1024,0.95,11,regexMatches,avgt,100,ns/op,28.484563,498.53,715.437,601.42441,83.98738641300113,0 days 00:04:12,2021-04-06 09:18:03.594918
125,http,1024,0.95,11,stringContains,avgt,100,ns/op,0.121812,143.69,145.24,144.14045,0.3591919206477034,0 days 00:04:12,2021-04-06 09:18:03.594918
126,http,256,0.95,5,regexMatches,avgt,100,ns/op,6.690037,175.121,230.783,192.32627999999994,19.72572981537289,0 days 00:04:12,2021-04-06 03:31:36.836991
127,http,256,0.95,5,stringContains,avgt,100,ns/op,0.145819,43.263,44.435,43.73118,0.4299156924633742,0 days 00:04:12,2021-04-06 03:31:36.836991
128,http,16384,0.95,2,regexMatches,avgt,100,ns/op,87.970592,6027.102,6785.187,6615.809160000001,259.3833030337952,0 days 00:04:12,2021-04-06 09:13:40.449981
129,http,16384,0.95,2,stringContains,avgt,100,ns/op,0.504247,2311.33,2318.338,2312.63948,1.486853300419963,0 days 00:04:12,2021-04-06 09:13:40.449981
130,http,512,0.95,0,regexMatches,avgt,100,ns/op,14.995706,296.863,419.57,322.20524,44.215180953261935,0 days 00:04:12,2021-04-06 07:28:25.543504
131,http,512,0.95,0,stringContains,avgt,100,ns/op,0.285842,76.734,79.048,77.38432,0.8427546688800909,0 days 00:04:12,2021-04-06 07:28:25.543504
132,http,32768,0.95,5,regexMatches,avgt,100,ns/op,418.808531,11995.447,14827.048,13588.89104,1234.8665262151308,0 days 00:04:12,2021-04-06 02:12:40.792094
